Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","4","Algeria","5312","Area harvested","486","Bananas","2020","2020","ha","10","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","4","Algeria","5419","Yield","486","Bananas","2020","2020","hg/ha","235000","Fc","Calculated data"
"QCL","Crops and livestock products","4","Algeria","5510","Production","486","Bananas","2020","2020","tonnes","235","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","7","Angola","5312","Area harvested","486","Bananas","2020","2020","ha","157561","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","7","Angola","5419","Yield","486","Bananas","2020","2020","hg/ha","261170","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5510","Production","486","Bananas","2020","2020","tonnes","4115028","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5312","Area harvested","486","Bananas","2020","2020","ha","11","","Official data"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5419","Yield","486","Bananas","2020","2020","hg/ha","4545","Fc","Calculated data"
"QCL","Crops and livestock products","8","Antigua and Barbuda","5510","Production","486","Bananas","2020","2020","tonnes","5","","Official data"
"QCL","Crops and livestock products","9","Argentina","5312","Area harvested","486","Bananas","2020","2020","ha","8415","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","486","Bananas","2020","2020","hg/ha","209668","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5510","Production","486","Bananas","2020","2020","tonnes","176436","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","10","Australia","5312","Area harvested","486","Bananas","2020","2020","ha","12254","","Official data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","486","Bananas","2020","2020","hg/ha","303928","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5510","Production","486","Bananas","2020","2020","tonnes","372433","","Official data"
"QCL","Crops and livestock products","11","Austria","5312","Area harvested","486","Bananas","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","11","Austria","5510","Production","486","Bananas","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","12","Bahamas","5312","Area harvested","486","Bananas","2020","2020","ha","437","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","12","Bahamas","5419","Yield","486","Bananas","2020","2020","hg/ha","227185","Fc","Calculated data"
"QCL","Crops and livestock products","12","Bahamas","5510","Production","486","Bananas","2020","2020","tonnes","9928","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","13","Bahrain","5312","Area harvested","486","Bananas","2020","2020","ha","88","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","13","Bahrain","5419","Yield","486","Bananas","2020","2020","hg/ha","116023","Fc","Calculated data"
"QCL","Crops and livestock products","13","Bahrain","5510","Production","486","Bananas","2020","2020","tonnes","1021","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","486","Bananas","2020","2020","ha","49280","","Official data"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","486","Bananas","2020","2020","hg/ha","165972","Fc","Calculated data"
"QCL","Crops and livestock products","16","Bangladesh","5510","Production","486","Bananas","2020","2020","tonnes","817908","","Official data"
"QCL","Crops and livestock products","14","Barbados","5312","Area harvested","486","Bananas","2020","2020","ha","174","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","14","Barbados","5419","Yield","486","Bananas","2020","2020","hg/ha","57184","Fc","Calculated data"
"QCL","Crops and livestock products","14","Barbados","5510","Production","486","Bananas","2020","2020","tonnes","995","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","255","Belgium","5312","Area harvested","486","Bananas","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","255","Belgium","5510","Production","486","Bananas","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","23","Belize","5312","Area harvested","486","Bananas","2020","2020","ha","3044","","Official data"
"QCL","Crops and livestock products","23","Belize","5419","Yield","486","Bananas","2020","2020","hg/ha","304320","Fc","Calculated data"
"QCL","Crops and livestock products","23","Belize","5510","Production","486","Bananas","2020","2020","tonnes","92635","","Official data"
"QCL","Crops and livestock products","53","Benin","5312","Area harvested","486","Bananas","2020","2020","ha","4066","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","53","Benin","5419","Yield","486","Bananas","2020","2020","hg/ha","48728","Fc","Calculated data"
"QCL","Crops and livestock products","53","Benin","5510","Production","486","Bananas","2020","2020","tonnes","19813","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","18","Bhutan","5312","Area harvested","486","Bananas","2020","2020","ha","46","","Official data"
"QCL","Crops and livestock products","18","Bhutan","5419","Yield","486","Bananas","2020","2020","hg/ha","684783","Fc","Calculated data"
"QCL","Crops and livestock products","18","Bhutan","5510","Production","486","Bananas","2020","2020","tonnes","3150","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5312","Area harvested","486","Bananas","2020","2020","ha","20010","","Official data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5419","Yield","486","Bananas","2020","2020","hg/ha","150506","Fc","Calculated data"
"QCL","Crops and livestock products","19","Bolivia (Plurinational State of)","5510","Production","486","Bananas","2020","2020","tonnes","301162","","Official data"
"QCL","Crops and livestock products","21","Brazil","5312","Area harvested","486","Bananas","2020","2020","ha","455004","","Official data"
"QCL","Crops and livestock products","21","Brazil","5419","Yield","486","Bananas","2020","2020","hg/ha","145874","Fc","Calculated data"
"QCL","Crops and livestock products","21","Brazil","5510","Production","486","Bananas","2020","2020","tonnes","6637308","","Official data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5312","Area harvested","486","Bananas","2020","2020","ha","599","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","26","Brunei Darussalam","5419","Yield","486","Bananas","2020","2020","hg/ha","28664","Fc","Calculated data"
"QCL","Crops and livestock products","26","Brunei Darussalam","5510","Production","486","Bananas","2020","2020","tonnes","1717","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5312","Area harvested","486","Bananas","2020","2020","ha","0","","Official data"
"QCL","Crops and livestock products","27","Bulgaria","5510","Production","486","Bananas","2020","2020","tonnes","0","","Official data"
"QCL","Crops and livestock products","29","Burundi","5312","Area harvested","486","Bananas","2020","2020","ha","163559","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","29","Burundi","5419","Yield","486","Bananas","2020","2020","hg/ha","78262","Fc","Calculated data"
"QCL","Crops and livestock products","29","Burundi","5510","Production","486","Bananas","2020","2020","tonnes","1280048","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","35","Cabo Verde","5312","Area harvested","486","Bananas","2020","2020","ha","250","","Official data"
"QCL","Crops and livestock products","35","Cabo Verde","5419","Yield","486","Bananas","2020","2020","hg/ha","222120","Fc","Calculated data"
"QCL","Crops and livestock products","35","Cabo Verde","5510","Production","486","Bananas","2020","2020","tonnes","5553","","Official data"
"QCL","Crops and livestock products","115","Cambodia","5312","Area harvested","486","Bananas","2020","2020","ha","30042","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","115","Cambodia","5419","Yield","486","Bananas","2020","2020","hg/ha","46539","Fc","Calculated data"
"QCL","Crops and livestock products","115","Cambodia","5510","Production","486","Bananas","2020","2020","tonnes","139811","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5312","Area harvested","486","Bananas","2020","2020","ha","97960","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","32","Cameroon","5419","Yield","486","Bananas","2020","2020","hg/ha","123494","Fc","Calculated data"
"QCL","Crops and livestock products","32","Cameroon","5510","Production","486","Bananas","2020","2020","tonnes","1209750","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5312","Area harvested","486","Bananas","2020","2020","ha","22750","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","37","Central African Republic","5419","Yield","486","Bananas","2020","2020","hg/ha","61442","Fc","Calculated data"
"QCL","Crops and livestock products","37","Central African Republic","5510","Production","486","Bananas","2020","2020","tonnes","139781","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","351","China","5312","Area harvested","486","Bananas","2020","2020","ha","353548","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","351","China","5419","Yield","486","Bananas","2020","2020","hg/ha","335813","Fc","Calculated data"
"QCL","Crops and livestock products","351","China","5510","Production","486","Bananas","2020","2020","tonnes","11872600","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","41","China, mainland","5312","Area harvested","486","Bananas","2020","2020","ha","338580","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","41","China, mainland","5419","Yield","486","Bananas","2020","2020","hg/ha","340038","Fc","Calculated data"
"QCL","Crops and livestock products","41","China, mainland","5510","Production","486","Bananas","2020","2020","tonnes","11513000","","Official data"
